backend,batch,bits,compile_s,device,frames_per_s,g_pb,h,iters,n_atoms,nodes,peak_gib,per_frame_ms,precond,relres,sha,shape,structure,total_ms
gpu,1,64,2.2260005930438638,NVIDIA GeForce RTX 2080 Ti,16.165279329917436,-1267.7022345052687,1.0,117,1835,912673,0.12757277488708496,61.860978680973254,jacobi,9.432890176018081e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,61.860978680973254
gpu,1,64,5.146340226987377,NVIDIA GeForce RTX 2080 Ti,15.659797793171677,-1267.702233942201,1.0,18,1835,912673,0.25257277488708496,63.85778496041894,mg,5.576115669099377e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,63.85778496041894
gpu,1,64,2.1091853289399296,NVIDIA GeForce RTX 2080 Ti,14.58874801367475,-1267.7022345052687,1.0,117,1835,912673,0.12757277488708496,68.54597797306876,auto,9.432890176018081e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,68.54597797306876
gpu,1,32,1.8545484258793294,NVIDIA GeForce RTX 2080 Ti,45.162916139789715,-1267.6936908599675,1.0,117,1835,912673,0.06493091583251953,22.142060023422044,jacobi,9.450867764826398e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,22.142060023422044
gpu,1,32,5.242266221204773,NVIDIA GeForce RTX 2080 Ti,36.12327997909953,-1267.693519178709,1.0,18,1835,912673,0.06493091583251953,27.682978970309097,mg,5.57865996597684e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,27.682978970309097
gpu,1,32,2.0985119938850403,NVIDIA GeForce RTX 2080 Ti,44.37889971529126,-1267.6936908599675,1.0,117,1835,912673,0.06493091583251953,22.533231026803453,auto,9.450867764826398e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,22.533231026803453
gpu,1,64,3.2700101118534803,NVIDIA GeForce RTX 2080 Ti,7.426492721662693,-1010.8026330996933,0.75,131,1835,2146689,0.2567143440246582,134.65306403425834,jacobi,9.90896583926017e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,134.65306403425834
gpu,1,64,6.270526746986434,NVIDIA GeForce RTX 2080 Ti,9.421792600092752,-1010.8026316587653,0.75,16,1835,2146689,0.29716944694519043,106.13691496352355,mg,9.407287438572896e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,106.13691496352355
gpu,1,64,6.255316424882039,NVIDIA GeForce RTX 2080 Ti,8.891672895209616,-1010.8026316587653,0.75,16,1835,2146689,0.29716944694519043,112.4647759522001,auto,9.407287438572896e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,112.4647759522001
gpu,1,32,3.0917443721555173,NVIDIA GeForce RTX 2080 Ti,17.467978427434144,-1010.7904588984693,0.75,131,1835,2146689,0.12887263298034668,57.24760905529062,jacobi,9.923623110807966e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,57.24760905529062
gpu,1,32,6.499669488053769,NVIDIA GeForce RTX 2080 Ti,21.973998713741295,-1010.7902132002426,0.75,16,1835,2146689,0.12887263298034668,45.508330687880516,mg,9.409702215634752e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,45.508330687880516
gpu,1,32,6.594875086098909,NVIDIA GeForce RTX 2080 Ti,21.084123736678897,-1010.7902132002426,0.75,16,1835,2146689,0.12887263298034668,47.429051948711276,auto,9.409702215634752e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,47.429051948711276
gpu,1,64,5.539821592159569,NVIDIA GeForce RTX 2080 Ti,2.128112246645218,-979.4707849513718,0.5,193,1835,5002753,0.603766679763794,469.900025986135,jacobi,9.829368472354764e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,469.900025986135
gpu,1,64,8.872478869045153,NVIDIA GeForce RTX 2080 Ti,4.7503444884070065,-979.4707840399132,0.5,11,1835,5002753,0.7422192096710205,210.5110487124572,mg,8.784865041107419e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,210.5110487124572
gpu,1,64,8.358910341979936,NVIDIA GeForce RTX 2080 Ti,4.748562050294505,-979.4707840399132,0.5,11,1835,5002753,0.7422192096710205,210.5900669315209,auto,8.784865041107419e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,210.5900669315209
gpu,1,32,5.428607861045748,NVIDIA GeForce RTX 2080 Ti,5.249840366356754,-979.4412569658471,0.5,193,1835,5002753,0.2579495906829834,190.48198234910765,jacobi,9.87120802165009e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,190.48198234910765
gpu,1,32,8.414648701203987,NVIDIA GeForce RTX 2080 Ti,13.045016894989711,-979.4414475391761,0.5,11,1835,5002753,0.29154348373413086,76.65762398391962,mg,8.79031176737044e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,76.65762398391962
gpu,1,32,8.62060877494514,NVIDIA GeForce RTX 2080 Ti,12.51381045758132,-979.4414475391761,0.5,11,1835,5002753,0.29154348373413086,79.91171061682205,auto,8.79031176737044e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,79.91171061682205
