backend,batch,bits,compile_s,device,frames_per_s,g_pb,h,iters,n_atoms,nodes,peak_gib,per_frame_ms,precond,relres,sha,shape,structure,total_ms
gpu,1,64,1.1016041899565607,NVIDIA GeForce RTX 5080,43.13212125782565,-1267.7022345052687,1.0,117,1835,912673,0.12757277488708496,23.184577313562233,jacobi,9.432890176018081e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,23.184577313562233
gpu,1,64,2.5192766450345516,NVIDIA GeForce RTX 5080,36.80250282460289,-1267.702233942201,1.0,18,1835,912673,0.12757277488708496,27.172065029541653,mg,5.576115669099377e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,27.172065029541653
gpu,1,32,1.144959629047662,NVIDIA GeForce RTX 5080,178.73380165598786,-1267.6936908599675,1.0,117,1835,912673,0.06493091583251953,5.594912605981032,jacobi,9.450867764826398e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,5.594912605981032
gpu,1,32,2.484451381955296,NVIDIA GeForce RTX 5080,79.82316706368334,-1267.693519178709,1.0,18,1835,912673,0.12784838676452637,12.527691355595985,mg,5.57865996597684e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,12.527691355595985
gpu,1,64,1.7056631778832525,NVIDIA GeForce RTX 5080,14.769533468276736,-1010.8026330996933,0.75,131,1835,2146689,0.2567143440246582,67.70694566269715,jacobi,9.90896583926017e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,67.70694566269715
gpu,1,64,3.2998780680354685,NVIDIA GeForce RTX 5080,19.925387658752772,-1010.8026316587653,0.75,16,1835,2146689,0.2567143440246582,50.18722933406631,mg,9.407287438572896e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,50.18722933406631
gpu,1,32,1.6254277259577066,NVIDIA GeForce RTX 5080,44.44812212843239,-1010.7852893919166,0.75,131,1835,2146689,0.12887263298034668,22.498138326530654,jacobi,9.923623110807966e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,22.498138326530654
gpu,1,32,3.2321631838567555,NVIDIA GeForce RTX 5080,60.64139680965088,-1010.7850463618599,0.75,16,1835,2146689,0.2538726329803467,16.490385324383777,mg,9.409702215634752e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,16.490385324383777
gpu,1,64,2.8810950748156756,NVIDIA GeForce RTX 5080,4.96252488847946,-979.4707849513718,0.5,193,1835,5002753,0.5099444389343262,201.51032437570393,jacobi,9.829368472354764e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,201.51032437570393
gpu,1,64,4.5177907180041075,NVIDIA GeForce RTX 5080,10.999807924048955,-979.4707840399132,0.5,11,1835,5002753,0.5770854949951172,90.91067834136386,mg,8.784865041107419e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,90.91067834136386
gpu,1,32,2.237026239046827,NVIDIA GeForce RTX 5080,12.26429251913322,-979.4412569658471,0.5,193,1835,5002753,0.2579495906829834,81.53752028010786,jacobi,9.87120802165009e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,81.53752028010786
gpu,1,32,4.45079302508384,NVIDIA GeForce RTX 5080,34.452871001393675,-979.4414475391761,0.5,11,1835,5002753,0.34737682342529297,29.025157292683918,mg,8.79031176737044e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,29.025157292683918
