backend,batch,bits,compile_s,device,frames_per_s,g_pb,h,iters,n_atoms,nodes,peak_gib,per_frame_ms,precond,relres,sha,shape,structure,total_ms
gpu,1,64,1.0902652069926262,NVIDIA GeForce RTX 5080,43.057092655899794,-1267.7022345052687,1.0,117,1835,912673,0.12757277488708496,23.224977310746908,jacobi,9.432890176018081e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,23.224977310746908
gpu,1,64,2.477855334058404,NVIDIA GeForce RTX 5080,36.71004077574967,-1267.702233942201,1.0,18,1835,912673,0.12757277488708496,27.24050365698834,mg,5.576115669099377e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,27.24050365698834
gpu,1,32,1.14687907602638,NVIDIA GeForce RTX 5080,177.71562210968546,-1267.6936908599675,1.0,117,1835,912673,0.06493091583251953,5.626967332015435,jacobi,9.450867764826398e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,5.626967332015435
gpu,1,32,2.485985861858353,NVIDIA GeForce RTX 5080,79.11330221253685,-1267.693513281614,1.0,18,1835,912673,0.12784838676452637,12.64009935160478,mg,5.59132558919373e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,97x97x97,S4_complex.cif,12.64009935160478
gpu,1,64,1.709514089860022,NVIDIA GeForce RTX 5080,14.7751902459554,-1010.8026330996933,0.75,131,1835,2146689,0.2567143440246582,67.68102361820638,jacobi,9.90896583926017e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,67.68102361820638
gpu,1,64,3.3143068740610033,NVIDIA GeForce RTX 5080,19.91030302022992,-1010.8026316587653,0.75,16,1835,2146689,0.2567143440246582,50.22525267365078,mg,9.407287438572896e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,50.22525267365078
gpu,1,32,1.6218514619395137,NVIDIA GeForce RTX 5080,44.41875272874904,-1010.7852893919166,0.75,131,1835,2146689,0.12887263298034668,22.513013953963917,jacobi,9.923623110807966e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,22.513013953963917
gpu,1,32,3.239259753841907,NVIDIA GeForce RTX 5080,60.50658521871989,-1010.7850463618599,0.75,16,1835,2146689,0.2538726329803467,16.527126698444288,mg,9.409702215634752e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,129x129x129,S4_complex.cif,16.527126698444288
gpu,1,64,2.8754954859614372,NVIDIA GeForce RTX 5080,4.9621206933617685,-979.4707849513718,0.5,193,1835,5002753,0.5099444389343262,201.52673862564066,jacobi,9.829368472354764e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,201.52673862564066
gpu,1,64,4.492560276063159,NVIDIA GeForce RTX 5080,10.9989101332988,-979.4707840399132,0.5,11,1835,5002753,0.5770854949951172,90.91809896441798,mg,8.784865041107419e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,90.91809896441798
gpu,1,32,2.238477975828573,NVIDIA GeForce RTX 5080,12.255720211683782,-979.4412569658471,0.5,193,1835,5002753,0.2579495906829834,81.59455199105044,jacobi,9.87120802165009e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,81.59455199105044
gpu,1,32,4.457829474005848,NVIDIA GeForce RTX 5080,34.44458373629481,-979.4414475391761,0.5,11,1835,5002753,0.34737682342529297,29.032140659789246,mg,8.79031176737044e-06,78d8db8e33247315559a612fff6ecbe32a6a91e39d207d1bee68e7d1250b438e,161x161x193,S4_complex.cif,29.032140659789246
